Mass,Hex,HexNAc,Fuc,NeuAc,Class,1D_2_compositional,2D_2_compositional,3D_2_compositional,4D_2_compositional,5D_2_compositional,6D_2_compositional,7D_2_compositional,,
1056.38566,3,2,1,0,HM-F,0,0,0,0,0,0.064141165,0,,3210
2078.76586,5,4,3,0,CH-F,0,0.335414841,0.052577636,0,0.269868392,0.052258741,0,,5430
2409.86746,4,5,1,2,C-FS,0,0,0.035106703,0,0,0,0,,4512
4194.52696,8,7,6,2,C-FS,0,0,0.117307668,0,0,0,0,,8762
2514.89876,5,4,2,2,C-FS,0,0,0.055663896,0,0,0,0,,5422
2134.76696,5,5,0,1,CH-S,0,0,0.024954219,0,0,0.045671572,0,,5501
2880.03096,6,5,2,2,CH-FS,0,0.182291517,0.115937321,0,0,0,0,,6522
3393.23676,9,8,2,0,C-F,0,0,0.186686951,0,0,0,0,,9820
2135.78736,5,5,2,0,CH-F,0,0,0,0,0,0.085728898,0,,5520
2208.80376,6,6,0,0,C,0,0,0,0,0,0.059547691,0,,6600
1770.65516,4,4,2,0,CH-F,0,0,0.032785057,0,0,0,0,,4420
2937.05246,6,6,1,2,C-FS,0,0.140233789,0,0,0,0.150779188,0,,6612
2589.95596,6,5,4,0,C-F,0,0,0,0,0.205093903,0,0,,6540
2749.96796,7,5,0,2,H-S,0,0,0.091010906,0,0,0,0,,7502
3681.29606,7,6,1,4,C-FS,0,0,0,7.307545431,0,0,0,,7614
3464.23746,8,7,1,2,C-FS,0,0,0.257514035,0,0,0,0,,8712
2588.93556,6,5,2,1,CH-FS,0,0,0.19074437,0,0,0,0,,6521
2094.76076,6,4,2,0,H-F,0,0,0,0,0,0,0.062406072,,6420
2572.94066,5,5,3,1,CH-FS,0,0,0,0,0,0,0.070090992,,5531
2571.92026,5,5,1,2,C-FS,0,0,0.160481546,0,0,0.109015259,0.057335531,,5512
4120.46506,9,8,1,3,C-FS,0,0,0.035956716,0,0,0,0.194436012,,9813
1932.70796,5,4,2,0,CH-F,0,0,0.27163854,0,0.311945525,0.387709937,0.316317338,,5420
2239.79826,6,4,1,1,H-FS,0,0,0.037176126,0,0,0,0,,6411
2321.85146,4,6,1,1,C-FS,0,0,0,0,0.110087426,0,0,,4611
3026.08886,6,5,3,2,CH-FS,0,0.170169771,0.022968209,0,0.419346183,0,0,,6532
2118.77206,4,5,1,1,C-FS,0,0,0.102996478,0,0,0.065752071,0,,4511
2882.04666,8,7,1,0,C-F,0,0.600883406,0,0,0,0.884243738,0.046764999,,8710
2206.75016,11,2,0,0,HM,0,0,0.022346588,0,0,0,0,,11200
1874.66606,5,3,1,1,H-FS,0,0.08623269,0.303694732,0,0.502612649,0,0.304044069,,5311
2281.84526,5,5,3,0,CH-F,0,0,0.049684019,1.344633204,0,0,0.046034178,,5530
