Mass,Hex,HexNAc,Fuc,NeuAc,Class,HEPG2_DMEM_P4_08_compositional,HEPG2_DMEM_P6_NT_13_compositional,HEPG2_DMEM_P6_ins_14_compositional,HEPG2_EMEM_P5_06_compositional,HEPG2_EMEM_P7_NT_17_compositional,HEPG2_EMEM_P7_ins_16_compositional,PNT2_P10_DHTT_r04_compositional,PNT2_P10_DHT_r03_compositional,PNT2_P10_NT_r02_compositional,PNT2_P11_Chol_r16_compositional,PNT2_P11_NT_r17_compositional,PNT2_P14_DHTT2_r27_compositional,PNT2_P14_DHTT_r26_compositional,PNT2_P14_NT_r25_compositional,PNT2_P15_DDHTT_r12_compositional,PNT2_P16_Chol_r22_compositional,PNT2_P16_NT_r23_compositional,PNT2_P17_Chol_r19_compositional,PNT2_P17_NT_r20_compositional,PNT2_p13_DHTTx5_r07_compositional,PNT2_p13_NT_r06b_compositional
3902.41116,8,7,4,2,C-FS,1.16562098719,1.59369564624,1.48962494355,1.33330683933,0.766813009613,0.721681119676,0,0,0,0,0,0,0.0845854024899,0.0613805091685,0.0224739380205,0.036080243574,0,0,0.0367603360256,0.125428397327,0,
3317.18426,6,5,3,3,C-FS,1.07171566734,0.360784057945,0.35093912402,1.10369777827,0.331515268476,0.376962070066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2223.80336,5,4,2,1,CH-FS,1.03362224741,0.350135032911,2.30964666562,0.263874292354,0.140899649141,0.339777694847,4.24237214008,3.61252909814,4.54178222556,4.15039496001,5.18746281039,5.81047797033,5.72183275287,4.8976737739,4.04276023757,3.40549738561,4.54450168099,3.20177229479,4.04016137636,3.81074841206,3.74620736284,
4047.44866,8,7,3,3,C-FS,1.02451372312,0.253080575741,0,1.9213331866,0.260561021241,1.27232228087,0.0920430656336,0,0,0,0,0,0,0,0,0,0.0524778383548,0,0,0.138544865846,0.104542918317,
3828.37436,7,6,4,3,C-FS,0.900606304189,0,0,1.28698397348,0,0.331280062035,0,0,0,0.29501776276,0,0,0,0.0303021683597,0,0,0.166601034767,0,0,0.0583879778395,0.0246053970386,
4048.46906,8,7,5,2,C-FS,0.854126744197,0.763186265217,1.04111382633,0.645853804864,0.497730233854,0,0,0,0,0,0,0,0,0,0,0,0.04955234027,0,0.0319384627456,0.0357046578662,0,
2442.87766,6,5,1,1,CH-FS,0.738539092417,0.85912569479,0.914305775335,0.491319329431,0.962471044373,0.497526702203,0.596291643076,0.562353064779,0.79145533138,0.669338259907,0.644857959171,1.38897996661,1.18233480481,0.890293672387,0.626864477817,0.922840674191,0.915547507261,0.765368674121,0.749552670411,0.514875844997,0.296730312199,
2879.01056,6,5,0,3,C-S,0.667615778705,0,0,2.03484359696,0,0.44812846869,0.259494518358,0,0.325604216329,0.373686837034,0.206515746466,0.266032206856,0.150663172374,0.221417020134,0.41175119698,0.282347722115,0.28678251007,0.100425622001,0.16856078477,0.450142565468,0.385322570213,
2384.83576,6,4,0,2,H-S,0.660279256766,0.59742155699,0.764269283953,0.622138027852,0.756427517497,0.609360586652,0,0,0.230522089017,0.118558149639,0.117195419704,0.0829654206468,0,0.207953077493,0.0755787560313,0.24081996902,0.386863446453,0.208037197755,0.21987288236,0.0426740875905,0.149335517013,
2953.04736,7,6,0,2,C-S,0.619018459804,0.122650989774,0.117588515382,0.336067850259,0,0.497812565702,0.0882922528007,0.115302920687,0.380592300155,0.178841490108,0,0,0,0.0182496600897,0.167298684205,0.0158891636213,0.0591520804094,0.14257530364,0.109447445045,0.133107750464,0.108885681093,
